library,dependency,type
activemq:activemq:3.2.3,jetty:org.mortbay.jetty:5.1.10,Compile
activemq:activemq:3.2.3,tomcat:jasper-compiler:5.0.28,Compile
activemq:activemq:3.2.3,commons-pool:commons-pool:1.2,Compile
activemq:activemq:3.2.3,jrms:jrms:1.1,Compile
activemq:activemq:3.2.4,org.apache.derby:derby:10.1.1.0,Compile
activemq:activemq:3.2.4,commons-dbcp:commons-dbcp:1.2,Compile
activemq:activemq:3.2.4,org.springframework:spring:1.2.2,Compile
activemq:activemq:3.2.4,org.apache.derby:derbynet:10.1.1.0,Compile
activemq:activemq:3.2.4,commons-pool:commons-pool:1.2,Compile
activemq:activemq:3.2.4,xerces:xmlParserAPIs:2.6.2,Compile
activemq:activemq:3.2.4,jmdns:jmdns:0.2,Compile
activemq:activemq:3.2.4,commons-beanutils:commons-beanutils:1.6.1,Compile
activemq:activemq:3.2.4,activesoap:activesoap:1.0-SNAPSHOT,Compile
activemq:activemq:3.2.4,activemq:activemq-web:3.2.4,Compile
activemq:activemq:3.2.4,activemq:activemq-ra:3.2.4,Compile
activemq:activemq:3.2.4,activemq:activemq-core-test:3.2.4,Compile
activemq:activemq:3.2.4,activeio:activeio:1.1,Compile
activemq:activemq:3.2.4,activecluster:activecluster:1.1-SNAPSHOT,Compile
activemq:activemq:3.2.4,activemq:activemq-optional:3.2.4,Compile
activemq:activemq:3.2.4,jetty:org.mortbay.jetty:5.1.10,Compile
activemq:activemq:3.2.4,tomcat:jasper-compiler:5.0.28,Compile
activemq:activemq:3.2.4,tomcat:jasper-runtime:5.0.28,Compile
activemq:activemq:3.2.4,jrms:jrms:1.1,Compile
activemq:activemq:3.2.4,xstream:xstream:1.1.2,Compile
activemq:activemq:3.2.4,xmlpull:xmlpull:1.1.3.4d_b4_min,Compile
activemq:activemq:3.2.4,activemq:activemq-core:3.2.4,Compile
activemq:activemq:3.2.4,commons-collections:commons-collections:2.1,Compile
activemq:activemq:3.2.4,commons-httpclient:commons-httpclient:2.0.1,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec:1.0,Compile
activemq:activemq:3.2.4,commons-logging:commons-logging:1.0.3,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.0,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-servlet_2.4_spec:1.0,Compile
activemq:activemq:3.2.4,xerces:xercesImpl:2.6.2,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec:1.0,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec:1.0,Compile
activemq:activemq:3.2.4,concurrent:concurrent:1.3.4,Compile
activemq:activemq:3.2.4,log4j:log4j:1.2.8,Compile
activemq:activemq:3.2.4,junit:junit:3.8.1,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-jsp_2.0_spec:1.0,Compile
activemq:activemq:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-connector_1.5_spec:1.0,Compile
at.molindo:helios-services:0.9.11,io.netty:netty:3.8.0.Final,Compile
at.molindo:helios-services:0.9.11,org.slf4j:slf4j-api:1.7.6,Compile
at.molindo:helios-services:0.9.11,net.sourceforge.argparse4j:argparse4j:0.4.3,Compile
at.molindo:helios-services:0.9.11,commons-lang:commons-lang:2.6,Compile
at.molindo:helios-services:0.9.11,com.aphyr:riemann-java-client:0.2.10,Compile
at.molindo:helios-services:0.9.11,com.readytalk:metrics3-statsd:4.1.0,Compile
at.molindo:helios-services:0.9.11,com.sun.jersey:jersey-server:1.18.1,Compile
at.molindo:helios-services:0.9.11,com.sun.jersey:jersey-client:1.18.1,Compile
at.molindo:helios-services:0.9.11,com.sun.jersey:jersey-core:1.18.1,Compile
at.molindo:helios-services:0.9.11,com.spotify:docker-client:2.7.26,Compile
at.molindo:helios-services:0.9.11,com.spotify:logging:2.0.17,Compile
at.molindo:helios-services:0.9.11,commons-codec:commons-codec:1.8,Compile
at.molindo:helios-services:0.9.11,at.molindo:helios-tools:0.9.11,Compile
at.molindo:helios-services:0.9.11,com.google.protobuf:protobuf-java:2.5.0,Compile
at.molindo:helios-services:0.9.11,net.kencochrane.raven:raven-logback:4.1.1,Compile
at.molindo:helios-services:0.9.11,com.yammer.metrics:metrics-core:2.2.0,Compile
at.molindo:helios-services:0.9.11,org.apache.zookeeper:zookeeper:3.5.0-alpha,Compile
at.molindo:helios-services:0.9.11,com.fasterxml.jackson.core:jackson-databind:2.4.1,Compile
at.molindo:helios-services:0.9.11,joda-time:joda-time:2.3,Compile
at.molindo:helios-services:0.9.11,com.google.guava:guava:17.0,Compile
at.molindo:helios-services:0.9.11,io.dropwizard:dropwizard-core:0.7.1,Compile
at.molindo:helios-services:0.9.11,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.4.1,Compile
at.molindo:helios-services:0.9.11,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.4.1,Compile
at.molindo:helios-services:0.9.11,com.spotify.docgenerator:scanner:0.0.1,Compile
at.molindo:helios-services:0.9.11,com.fasterxml.jackson.datatype:jackson-datatype-guava:2.4.1,Compile
at.molindo:helios-services:0.9.11,ch.qos.logback:logback-access:1.1.1,Compile
at.molindo:helios-services:0.9.11,org.apache.curator:curator-recipes:2.7.1,Compile
at.molindo:helios-services:0.9.11,ch.qos.logback:logback-classic:1.1.2,Compile
at.molindo:helios-services:0.9.11,ch.qos.logback:logback-core:1.1.2,Compile
at.molindo:helios-services:0.9.11,org.apache.httpcomponents:httpclient:4.3.5,Compile
at.molindo:helios-services:0.9.11,at.molindo:helios-service-registration:0.9.11,Compile
at.molindo:helios-services:0.9.11,at.molindo:helios-client:0.9.11,Compile
at.molindo:helios-services:0.9.11,org.apache.kafka:kafka-clients:0.8.2.0,Compile
at.molindo:helios-services:0.9.12,com.google.protobuf:protobuf-java:2.5.0,Compile
at.molindo:helios-services:0.9.12,com.aphyr:riemann-java-client:0.2.10,Compile
at.molindo:helios-services:0.9.12,commons-lang:commons-lang:2.6,Compile
at.molindo:helios-services:0.9.12,com.spotify:logging:2.0.17,Compile
at.molindo:helios-services:0.9.12,com.spotify:docker-client:3.1.0,Compile
at.molindo:helios-services:0.9.12,com.sun.jersey:jersey-core:1.18.1,Compile
at.molindo:helios-services:0.9.12,com.sun.jersey:jersey-client:1.18.1,Compile
at.molindo:helios-services:0.9.12,com.sun.jersey:jersey-server:1.18.1,Compile
at.molindo:helios-services:0.9.12,com.readytalk:metrics3-statsd:4.1.0,Compile
at.molindo:helios-services:0.9.12,com.yammer.metrics:metrics-core:2.2.0,Compile
at.molindo:helios-services:0.9.12,org.slf4j:slf4j-api:1.7.6,Compile
at.molindo:helios-services:0.9.12,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.4.1,Compile
at.molindo:helios-services:0.9.12,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.4.1,Compile
at.molindo:helios-services:0.9.12,com.fasterxml.jackson.datatype:jackson-datatype-guava:2.4.1,Compile
at.molindo:helios-services:0.9.12,at.molindo:helios-client:0.9.12,Compile
at.molindo:helios-services:0.9.12,at.molindo:helios-tools:0.9.12,Compile
at.molindo:helios-services:0.9.12,commons-codec:commons-codec:1.8,Compile
at.molindo:helios-services:0.9.12,org.apache.httpcomponents:httpclient:4.3.5,Compile
at.molindo:helios-services:0.9.12,joda-time:joda-time:2.3,Compile
at.molindo:helios-services:0.9.12,net.sourceforge.argparse4j:argparse4j:0.4.3,Compile
at.molindo:helios-services:0.9.12,com.fasterxml.jackson.core:jackson-databind:2.4.1,Compile
at.molindo:helios-services:0.9.12,org.apache.zookeeper:zookeeper:3.5.0-alpha,Compile
at.molindo:helios-services:0.9.12,org.apache.curator:curator-recipes:2.7.1,Compile
at.molindo:helios-services:0.9.12,org.apache.kafka:kafka-clients:0.8.2.0,Compile
at.molindo:helios-services:0.9.12,ch.qos.logback:logback-classic:1.1.2,Compile
at.molindo:helios-services:0.9.12,ch.qos.logback:logback-core:1.1.2,Compile
at.molindo:helios-services:0.9.12,ch.qos.logback:logback-access:1.1.1,Compile
at.molindo:helios-services:0.9.12,net.kencochrane.raven:raven-logback:4.1.1,Compile
at.molindo:helios-services:0.9.12,io.netty:netty:3.8.0.Final,Compile
at.molindo:helios-services:0.9.12,com.google.guava:guava:17.0,Compile
at.molindo:helios-services:0.9.12,at.molindo:helios-service-registration:0.9.12,Compile
at.molindo:helios-services:0.9.12,com.spotify.docgenerator:scanner:0.0.1,Compile
at.molindo:helios-services:0.9.12,io.dropwizard:dropwizard-core:0.7.1,Compile
at.molindo:helios-services:0.9.13,io.dropwizard:dropwizard-core:0.7.1,Compile
at.molindo:helios-services:0.9.13,com.google.protobuf:protobuf-java:2.5.0,Compile
at.molindo:helios-services:0.9.13,com.aphyr:riemann-java-client:0.2.10,Compile
at.molindo:helios-services:0.9.13,commons-lang:commons-lang:2.6,Compile
at.molindo:helios-services:0.9.13,com.spotify:logging:2.0.17,Compile
at.molindo:helios-services:0.9.13,com.spotify:docker-client:3.1.0,Compile
at.molindo:helios-services:0.9.13,com.sun.jersey:jersey-core:1.18.1,Compile
at.molindo:helios-services:0.9.13,com.sun.jersey:jersey-client:1.18.1,Compile
at.molindo:helios-services:0.9.13,com.sun.jersey:jersey-server:1.18.1,Compile
at.molindo:helios-services:0.9.13,com.readytalk:metrics3-statsd:4.1.0,Compile
at.molindo:helios-services:0.9.13,org.slf4j:slf4j-api:1.7.6,Compile
at.molindo:helios-services:0.9.13,io.netty:netty:3.8.0.Final,Compile
at.molindo:helios-services:0.9.13,com.yammer.metrics:metrics-core:2.2.0,Compile
at.molindo:helios-services:0.9.13,net.kencochrane.raven:raven-logback:4.1.1,Compile
at.molindo:helios-services:0.9.13,ch.qos.logback:logback-access:1.1.1,Compile
at.molindo:helios-services:0.9.13,ch.qos.logback:logback-core:1.1.2,Compile
at.molindo:helios-services:0.9.13,ch.qos.logback:logback-classic:1.1.2,Compile
at.molindo:helios-services:0.9.13,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.4.1,Compile
at.molindo:helios-services:0.9.13,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.4.1,Compile
at.molindo:helios-services:0.9.13,com.fasterxml.jackson.datatype:jackson-datatype-guava:2.4.1,Compile
at.molindo:helios-services:0.9.13,at.molindo:helios-client:0.9.13,Compile
at.molindo:helios-services:0.9.13,at.molindo:helios-service-registration:0.9.13,Compile
